Index,NASDAQ100_TOTAL_RETURN
Symbol,XNDX
Source,Nasdaq Global Index Watch ExportHistory/HistoryData
Date,Close,High,Low,NetChange
2019-02-28,8156.98177106265,8189.60681300352,8139.04859819346,-22.3813079818
2019-03-29,8485.66310293622,8489.01998248982,8433.21846709203,67.04465466398
2019-04-30,8952.14365212161,8964.63794606564,8888.42395356217,-66.24503022722
2019-05-31,8213.94940349795,8277.64324630916,8211.6652516075,-135.34063078227
2019-06-28,8846.01081383804,8858.90968166511,8809.53588443392,16.17492446819
2019-07-31,9055.05290523851,9205.51662109929,8969.85699146052,-119.6250304355
2019-08-30,8886.50000636988,8951.2939562801,8830.9282423376,-13.07234746549
2019-09-30,8960.02567684938,8974.35185187069,8895.33000386161,78.47086676842
2019-10-31,9351.56798385028,9382.34194499869,9302.77926303657,0.83264059853
2019-11-29,9735.22980898752,9772.61855442281,9733.43189972034,-47.52352132509
2019-12-31,10123.98297554673,10126.71704808924,10055.94572229345,27.06390337656
2020-01-31,10428.24980219976,10635.50377822921,10393.54778010934,-167.67302415094
2020-02-28,9825.85950972233,9859.10736431029,9445.00858800511,29.22504208296
2020-03-31,9081.81728856904,9312.03982653981,9025.98175610233,-87.75184965096
2020-04-30,10465.21007469587,10491.39805135117,10372.09439575624,20.63511158056
2020-05-29,11125.59280628004,11146.58433812874,10921.14700288881,161.61808150045
2020-06-30,11834.05082514582,11867.25577315054,11601.02503384471,227.97890953191
2020-07-31,12710.65188985895,12713.51398273306,12479.3240582944,221.87412482276
2020-08-31,14129.18197176762,14195.40699967757,14000.16239721233,133.9827120854
2020-09-30,13328.02255923128,13464.53775885003,13223.53675915747,111.0182849576
2020-10-30,12906.65935044754,13187.85705878917,12798.15339618557,-347.73483335186
2020-11-30,14339.93836237385,14376.51510991315,14132.60143577361,11.81083108386
2020-12-31,15072.2870581013,15090.77161840967,14974.6004406914,50.20055405171
2021-01-29,15120.81556518308,15404.47399040025,15027.30468386761,-323.0331313335
2021-02-26,15115.02391488815,15326.8458443571,14945.13082473257,94.99289439963
2021-03-31,15337.62120214848,15426.21468747344,15191.41530622148,228.34671757135
2021-04-30,16244.98120670808,16372.07205915436,16219.27442304562,-128.26209046839
2021-05-28,16055.69681662549,16148.71129932673,16053.72390733454,33.62741822988
2021-06-30,17083.11140646732,17115.38778406341,17055.02614200044,-20.72919153739
2021-07-30,17564.35333167189,17600.70827605384,17473.35529279624,-103.57038979458
2021-08-31,18311.17808445219,18336.95969069115,18240.99336849195,-25.41125182677
2021-09-30,17269.99472824143,17503.48301862447,17264.03749691802,-73.9135093807
2021-10-29,18640.96681897056,18648.52712403385,18391.98350602134,86.64065403828
2021-11-30,18992.07153988923,19367.10858974401,18918.90920601794,-309.69105543609
2021-12-31,19217.94429080045,19388.14483548478,19214.61963830474,-128.23516090948
2022-01-31,17586.5786659277,17591.8465097746,17012.72114170474,560.03596598119
2022-02-28,16787.29214633465,16856.61097684034,16517.94099259181,57.35640047066
2022-03-31,17506.11742098087,17800.92315948416,17502.18441833956,-274.60725246154
2022-04-29,15170.44072266502,15847.52061054773,15147.63826155537,-709.56333556248
2022-05-31,14937.99318410449,15080.65953958973,14749.20399776471,-46.25201104882
2022-06-30,13601.81658821173,13775.91566020176,13387.98480180066,-182.38685988168
2022-07-29,15316.04330200882,15361.78099498507,15053.78731901293,273.52524683428
2022-08-31,14533.28864736968,14805.78285447009,14528.60714219055,-82.35983003122
2022-09-30,13000.3997917814,13385.43335700091,12995.33890818742,-229.35737931593
2022-10-31,13521.31492029178,13613.09762158173,13433.2249524407,-166.72566644791
2022-11-30,14280.64066844546,14282.15608710129,13629.97557841496,626.41961765613
2022-12-30,12994.57330119566,12998.29769610518,12803.191891972,-13.25658685014
2023-01-31,14380.73900480086,14383.35049002281,14159.73338910029,225.2350054642
2023-02-28,14327.20912104466,14451.42684841095,14302.46767981426,-18.53018019102
2023-03-31,15693.91225205717,15702.8213668507,15439.89725974421,259.8020853957
2023-04-28,15775.35730145981,15777.02571161526,15597.84425897835,102.37454599531
2023-05-31,16995.55959583454,17140.16234499844,16950.33331567925,-119.061887378
2023-06-30,18108.43132359294,18149.64060469878,17991.94642448788,285.42772997224
2023-07-31,18803.7433512901,18859.29699415447,18738.98861833352,7.24570881977
2023-08-31,18521.39441753201,18609.72404514814,18479.98443695073,49.76408104229
2023-09-29,17590.92776731674,17814.0037751093,17530.59833271326,14.91697349635
2023-10-31,17232.74527718575,17245.49372656766,17020.61446210932,88.82701278041
2023-11-30,19097.14875049519,19175.69710870587,18950.85234630421,-42.78460801404
2023-12-29,20158.42122631246,20270.53375962629,20076.89965061118,-86.70564351837
2024-01-31,20539.35536187116,20824.70232757265,20529.17170198898,-406.50200507955
2024-02-29,21650.13050166734,21679.72205377679,21437.09834731109,208.28576235764
2024-03-28,21916.48965014281,21980.87422054824,21888.50933718702,-31.1979280948
2024-04-30,20945.58066669982,21339.70885279923,20945.58066669982,-410.75634770232
2024-05-31,22284.09097812131,22329.66617183567,21867.12576933562,-0.82089730354
2024-06-28,23680.38747019455,24083.21331432183,23659.90920237477,-126.33760716982
2024-07-31,23303.25492760424,23380.50020349055,23063.1531024678,683.20854226075
2024-08-30,23578.12680516963,23587.19553044874,23279.40455487174,302.47474836286
2024-09-30,24183.36239033052,24197.51205221452,23932.8205846078,63.75976381317
2024-10-31,23986.04754154632,24392.13263144527,23973.79961785517,-597.65412384241
2024-11-29,25260.61469909582,25291.92168244437,25045.31273787359,225.45984431897
2024-12-31,25376.2219281626,25695.00023805649,25336.7866570317,-222.29755136
2025-01-31,25947.53271001673,26392.02707028163,25884.40309560538,-33.93264481418
2025-02-28,25249.72858972238,25269.50541286691,24673.14878107435,406.34156359238
2025-03-31,23327.51918633377,23373.03628010781,22747.64096358237,-2.38297164466
2025-04-30,23689.80783884281,23740.33542791071,23013.17688328502,33.55888367507
2025-05-30,25853.83612190368,25908.70747128331,25480.21807099888,-25.03249841535
2025-06-30,27494.05004038576,27545.56336506341,27355.96917422461,176.52347815123
2025-07-31,28156.5173045443,28606.69227726168,28105.58833506002,-152.3739452718
2025-08-29,28416.57759990938,28649.70899267167,28342.00036260939,-346.76241622763
2025-09-30,29970.26311618615,29983.91476546988,29757.94229285046,84.38487956751
2025-10-31,31410.39097532244,31659.82167267048,31292.76080314856,152.77854532997
2025-11-28,30918.76780651082,30919.84165366203,30731.65458659903,241.77212934506
2025-12-31,30711.48557177979,30995.99261555512,30705.41752086301,-257.49569011393
2026-01-30,31089.81022529113,31419.39440781528,30972.76071513192,-400.72585507435
2026-02-27,30387.08416116185,30421.07476277802,30128.06512005351,-86.95651581501
2026-03-31,28924.50702786616,28984.70837690189,28264.72820771978,959.80306154415
2026-04-30,33454.16276155002,33497.92597084153,32939.03317749125,323.10285905334
2026-05-29,36993.15989799661,37160.05153330255,36842.95119039126,135.52774122095
